,Arttırılabilir Azami Bellek,Bağlantılar,Brand,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü,Optik Sürücü Tipi,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Soket Tipi,Star,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
0,,Bluetooth,"Monster Abra A7 V13.2.3 Intel Core I5-11400h 16gb Ram 500gb Ssd 4gb Rtx3050ti Freedos 17.3"" Fhd 144hz ABRA A7 V13.2.3 ",2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,,Resmi Distribütör Garantili,,,Yok,Yok,Q Türkçe,Oyun,4.5,,,Yok,IPS,21.999,16 GB,DDR4,Siyah,500 GB,,4.64,," Abra A7 V13.2.3 Intel Core I5-11400h 16gb Ram 500gb Ssd 4gb Rtx3050ti Freedos 17.3"" Fhd 144hz ABRA A7 V13.2.3 ",1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Free Dos,3 Saat ve Altı
1,,Bluetooth,"Monster Abra A5 V16.7.3 Intel Core I5-11400h 16gb Ram 500gb Ssd 4gb Gtx1650 Freedos 15.6"" Fhd 144hz ABRA A5 V16.7.3 ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,Oyun,4.4,,,Yok,IPS,15.599,16 GB,DDR4,Siyah,500 GB,,4.57,2.7," Abra A5 V16.7.3 Intel Core I5-11400h 16gb Ram 500gb Ssd 4gb Gtx1650 Freedos 15.6"" Fhd 144hz ABRA A5 V16.7.3 ",1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Free Dos,3 Saat ve Altı
2,,Bluetooth,"Monster Tulpar T7 V20.5.2 Intel Core I7-12700h 16 Gb Ram 1tb Ssd 6gb Rtx3060 Freedos 17,3"" Fhd 144hz TULPAR T7 V20.5.2 ",2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,1 TB,Q Türkçe,Oyun,4.7,,,Yok,IPS,27.999,16 GB,DDR4,Siyah,1 TB,,4.25,3.5," Tulpar T7 V20.5.2 Intel Core I7-12700h 16 Gb Ram 1tb Ssd 6gb Rtx3060 Freedos 17,3"" Fhd 144hz TULPAR T7 V20.5.2 ",1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı
3,,HDMI,Casper Excalibur G770.1265-dfj0x-b Intel Core I7-12650h 32gb Ram 1tb Ssd 4gb Rtx3050 Freedos G770.1270-DFJ0X-B ,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,Oyun,4.7,,,Yok,IPS,21.999,32 GB,DDR4,Siyah,1 TB,,3.85,3.5, Excalibur G770.1265-dfj0x-b Intel Core I7-12650h 32gb Ram 1tb Ssd 4gb Rtx3050 Freedos G770.1270-DFJ0X-B ,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,
4,8 GB,HDMI,Apple Macbook Air 13'' M1 8gb 256gb Ssd Uzay Grisi Dizüstü Bilgisayar MGN63TU/A ,Belirtilmemiş,Yok,13 inç,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,Ev - Okul,,,,Yok,,19.099,8 GB,Belirtilmemiş,Gri,256 GB,,4.84,Belirtilmemiş, Macbook Air 13'' M1 8gb 256gb Ssd Uzay Grisi Dizüstü Bilgisayar MGN63TU/A ,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,
5,,USB,Huawei Matebook D15 AMD Ryzen 5 5500U 8GB 512GB SSD Gri Dizüstü Bilgisayar (Huawei Türkiye Garantili) MBOOKD15R5 ,2 kg ve Altı,Yok,"15,6 inç",AMD Radeon R5,GDDR4,8 GB,Dahili,60 Hz,,2 Yıl,Huawei Türkiye Garantili,,,512 GB,,Q Türkçe,Ofis - İş,2.4,,,Yok,IPS,"12.949,49",8 GB,DDR4,Gümüş,512 GB,,4.64,2.4, Matebook D15 AMD Ryzen 5 5500U 8GB 512GB SSD Gri Dizüstü Bilgisayar (Huawei Türkiye Garantili) MBOOKD15R5 ,1920 x 1080,Full HD (FHD),,5500U,Ryzen,AMD Ryzen 5,6,Windows,6 Saat ve Üstü
6,,Bluetooth,Monster Abra A7 V13.2.1 Intel Core I5-11400h 16gb Ram 500gb Ssd 4gb Rtx3050ti Windows 11 17.3'' Fhd 144hz ABRA A7 V13.2.1 ,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,,Resmi Distribütör Garantili,,,Yok,500 GB,Aydınlatmalı,Oyun,4.5,,,Yok,IPS,19.999,16 GB,DDR4,Siyah,500 GB,,4.42,, Abra A7 V13.2.1 Intel Core I5-11400h 16gb Ram 500gb Ssd 4gb Rtx3050ti Windows 11 17.3'' Fhd 144hz ABRA A7 V13.2.1 ,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,Belirtilmemiş,Windows,3 Saat ve Altı
7,,,"LENOVO Ideapad Intel Celeron N4020 4GB 128GB SSD 14"" HD DOS Dizüstü Bilgisayar 81VU006STX ",2 kg ve Altı,Yok,14 inç,Intel UHD Graphics 600,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,4 GB,Q Türkçe,Ev - Okul,,,,Yok,,5.498,4 GB,DDR4,Gümüş,128 GB,,4.25,Belirtilmemiş," Ideapad Intel Celeron N4020 4GB 128GB SSD 14"" HD DOS Dizüstü Bilgisayar 81VU006STX ",1366 x 768,HD Ready (HD),,N4020,Belirtilmemiş,Intel Celeron,2,Free Dos,
8,,Bluetooth,"Monster Abra A5 V19.3.6 Intel Core I7-12700h 16 Gb Ram 1tb Ssd 4gb Rtx3050ti Freedos 15,6"" Fhd 144hz ABRA A5 V19.3.6 ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,1 TB,Q Türkçe,Oyun,4.7,,,Yok,IPS,22.299,16 GB,DDR4,Siyah,1 TB,,4.64,3.5," Abra A5 V19.3.6 Intel Core I7-12700h 16 Gb Ram 1tb Ssd 4gb Rtx3050ti Freedos 15,6"" Fhd 144hz ABRA A5 V19.3.6 ",1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı
9,,Bluetooth,"Monster Abra A5 V19.1.5 Intel Core I5-12500h 16 Gb Ram 500gb Ssd 4gb Gtx1650 Freedos 15,6"" Fhd 144hz ABRA A5 V19.1.5 ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,500 GB,Q Türkçe,Oyun,4.5,,,Yok,IPS,16.899,16 GB,DDR4,Siyah,500 GB,,4.7,3.3," Abra A5 V19.1.5 Intel Core I5-12500h 16 Gb Ram 500gb Ssd 4gb Gtx1650 Freedos 15,6"" Fhd 144hz ABRA A5 V19.1.5 ",1920 x 1080,Full HD (FHD),,12500H,12. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı
